Namespace(batch_size=32, data_dir='/root/dataset/Osteoporosis/Sagittal_Contrast_Final_1/', epochs=60, log='logs/CE', lr=0.0001, n_gpu=4, num_classes=3, phase='train', seed=0, weight_decay=0.001, workers=16)
multi_class.py:41: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
Epoch: [0][ 0/72]	Time 14.8 (14.8)	Data 3.2 (3.2)	Loss 1.23 (1.23)	Accuracy 0.4 (0.4)
Epoch: [0][ 5/72]	Time 0.1 (2.6)	Data 0.0 (0.6)	Loss 0.85 (1.02)	Accuracy 0.7 (0.5)
Epoch: [0][10/72]	Time 0.1 (1.5)	Data 0.0 (0.3)	Loss 0.87 (0.99)	Accuracy 0.7 (0.5)
Epoch: [0][15/72]	Time 0.1 (1.0)	Data 0.0 (0.2)	Loss 0.74 (0.96)	Accuracy 0.6 (0.6)
Epoch: [0][20/72]	Time 0.1 (0.8)	Data 0.0 (0.2)	Loss 0.57 (0.93)	Accuracy 0.7 (0.6)
Epoch: [0][25/72]	Time 0.1 (0.7)	Data 0.0 (0.2)	Loss 0.64 (0.89)	Accuracy 0.8 (0.6)
Epoch: [0][30/72]	Time 0.1 (0.6)	Data 0.0 (0.1)	Loss 0.64 (0.87)	Accuracy 0.8 (0.6)
Epoch: [0][35/72]	Time 0.1 (0.5)	Data 0.0 (0.1)	Loss 0.57 (0.84)	Accuracy 0.8 (0.6)
Epoch: [0][40/72]	Time 0.1 (0.5)	Data 0.0 (0.1)	Loss 0.57 (0.83)	Accuracy 0.8 (0.6)
Epoch: [0][45/72]	Time 0.1 (0.5)	Data 0.0 (0.1)	Loss 0.54 (0.82)	Accuracy 0.8 (0.6)
Epoch: [0][50/72]	Time 0.1 (0.4)	Data 0.0 (0.1)	Loss 0.56 (0.80)	Accuracy 0.7 (0.6)
Epoch: [0][55/72]	Time 0.1 (0.4)	Data 0.0 (0.1)	Loss 0.62 (0.78)	Accuracy 0.7 (0.6)
Epoch: [0][60/72]	Time 0.1 (0.4)	Data 0.0 (0.1)	Loss 0.58 (0.77)	Accuracy 0.7 (0.6)
Epoch: [0][65/72]	Time 0.2 (0.4)	Data 0.0 (0.1)	Loss 0.57 (0.76)	Accuracy 0.7 (0.7)
Epoch: [0][70/72]	Time 0.1 (0.3)	Data 0.0 (0.1)	Loss 0.72 (0.76)	Accuracy 0.7 (0.7)
 *Acc 0.6767
Epoch: [1][ 0/72]	Time 4.5 (4.5)	Data 4.4 (4.4)	Loss 0.63 (0.63)	Accuracy 0.8 (0.8)
